               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 158,             0.03337,            0.020112,          0.00065336,              0.8778,             0.82416,             0.89019,             0.38467,            0.038011,            0.023423,          0.00094227,           0.0022285,           0.0022285,           0.0022285
                 159,             0.03381,            0.020217,          0.00072766,             0.81872,             0.82368,             0.87901,             0.37054,            0.040013,            0.022909,          0.00095314,            0.002179,            0.002179,            0.002179
                 160,            0.033254,            0.020386,          0.00077649,             0.78082,             0.70986,              0.8009,             0.37579,            0.039456,            0.024734,           0.0010723,           0.0021295,           0.0021295,           0.0021295
                 161,            0.034016,            0.020315,           0.0006921,             0.79729,             0.78869,              0.8053,             0.36389,            0.040948,            0.022547,           0.0010083,             0.00208,             0.00208,             0.00208
                 162,            0.033135,             0.02033,          0.00067414,             0.79046,             0.67347,             0.77016,             0.32282,            0.043008,            0.023733,            0.002389,           0.0020305,           0.0020305,           0.0020305
                 163,            0.033192,            0.020168,          0.00068832,             0.77072,             0.77923,             0.82629,             0.38352,            0.039528,            0.024357,           0.0020253,            0.001981,            0.001981,            0.001981
                 164,             0.03457,            0.020243,          0.00065012,             0.79692,             0.80958,             0.84128,             0.34477,            0.038102,            0.022764,            0.001291,           0.0019315,           0.0019315,           0.0019315
                 165,            0.034409,            0.020164,          0.00068031,             0.79037,             0.79107,             0.81886,             0.34048,            0.039306,            0.023124,           0.0018131,            0.001882,            0.001882,            0.001882
                 166,            0.033183,            0.019781,            0.000605,             0.84047,             0.78171,             0.80714,             0.33524,            0.040064,             0.02313,           0.0010704,           0.0018325,           0.0018325,           0.0018325
                 167,            0.033358,            0.019938,           0.0006375,              0.8562,             0.79088,             0.84163,              0.3599,            0.039789,            0.023008,           0.0014891,            0.001783,            0.001783,            0.001783
                 168,            0.033163,            0.019844,          0.00054603,             0.93777,             0.85208,             0.91744,             0.38657,            0.040645,            0.023236,          0.00094033,           0.0017335,           0.0017335,           0.0017335
                 169,             0.03384,            0.020294,          0.00086108,             0.77155,             0.82385,             0.80952,             0.35264,            0.038956,             0.02318,           0.0014493,            0.001684,            0.001684,            0.001684
                 170,            0.033002,             0.02006,          0.00054968,             0.81281,             0.79467,             0.82355,              0.3607,            0.039746,             0.02287,          0.00072077,           0.0016345,           0.0016345,           0.0016345
                 171,            0.032723,            0.019664,          0.00068812,             0.77253,             0.78426,             0.79074,             0.33426,            0.040582,            0.024009,          0.00070951,            0.001585,            0.001585,            0.001585
                 172,            0.032743,            0.019788,          0.00059947,              0.8783,             0.82608,             0.91151,             0.38966,            0.039606,             0.02374,           0.0011362,           0.0015355,           0.0015355,           0.0015355
                 173,            0.032794,              0.0197,          0.00058817,             0.86229,             0.79749,             0.86976,             0.38754,            0.038549,            0.023667,           0.0012562,            0.001486,            0.001486,            0.001486
                 174,            0.032889,            0.019911,          0.00054696,             0.81595,             0.74735,             0.82364,             0.35117,            0.040859,            0.023078,           0.0013137,           0.0014365,           0.0014365,           0.0014365
                 175,             0.03361,            0.019974,          0.00058573,             0.86793,             0.80888,             0.87001,             0.37365,            0.038314,            0.023114,          0.00085555,            0.001387,            0.001387,            0.001387
                 176,            0.033692,            0.019746,           0.0005694,             0.87058,             0.78448,             0.84432,             0.39841,            0.037463,            0.023156,           0.0005626,           0.0013375,           0.0013375,           0.0013375
                 177,            0.033432,            0.019834,          0.00049207,             0.79752,             0.86454,             0.89359,             0.39814,            0.036236,              0.0228,          0.00050881,            0.001288,            0.001288,            0.001288
                 178,            0.034042,            0.019607,          0.00060952,             0.86824,             0.80384,              0.8651,             0.39337,             0.03825,            0.022348,           0.0005095,           0.0012385,           0.0012385,           0.0012385
                 179,            0.034327,            0.019878,          0.00056498,             0.88201,             0.78392,             0.82778,             0.36663,             0.04079,            0.022612,           0.0007645,            0.001189,            0.001189,            0.001189
                 180,            0.033013,             0.01972,           0.0005993,             0.68852,             0.81546,             0.79235,             0.36024,            0.038527,            0.023704,          0.00086885,           0.0011395,           0.0011395,           0.0011395
                 181,            0.031963,            0.019372,          0.00042457,             0.92849,             0.77291,               0.867,              0.4029,            0.036724,            0.022983,          0.00084831,             0.00109,             0.00109,             0.00109
                 182,            0.031452,            0.019063,          0.00050989,              0.8641,             0.77431,             0.83811,             0.39044,            0.037442,            0.023169,          0.00067398,           0.0010405,           0.0010405,           0.0010405
                 183,            0.029967,            0.018806,          0.00053953,              0.8683,             0.77771,             0.84687,             0.38934,            0.037405,            0.022432,           0.0006969,            0.000991,            0.000991,            0.000991
                 184,            0.030917,            0.019064,          0.00063293,             0.89327,             0.75534,             0.87012,             0.41126,            0.037512,            0.022984,          0.00081758,           0.0009415,           0.0009415,           0.0009415
                 185,             0.02972,            0.018879,          0.00055205,             0.75044,              0.7931,             0.81319,             0.36825,            0.037421,            0.022648,           0.0011652,            0.000892,            0.000892,            0.000892
                 186,            0.029326,            0.018572,          0.00052686,             0.72887,             0.80698,             0.79628,             0.37442,            0.037085,            0.022764,           0.0011112,           0.0008425,           0.0008425,           0.0008425
                 187,            0.029545,            0.018583,          0.00050394,             0.75352,             0.85114,             0.82731,              0.3972,            0.037208,            0.022584,          0.00065726,            0.000793,            0.000793,            0.000793
                 188,            0.029657,            0.018464,          0.00047252,             0.82449,             0.77564,             0.84599,             0.38971,            0.037517,            0.022175,           0.0005484,           0.0007435,           0.0007435,           0.0007435
                 189,            0.029231,            0.018526,          0.00053417,             0.77414,             0.83433,             0.84445,             0.38291,              0.0372,            0.022489,          0.00057858,            0.000694,            0.000694,            0.000694
                 190,            0.029225,            0.018334,          0.00042772,             0.73585,             0.82027,             0.81724,             0.37667,            0.037945,            0.022822,           0.0007203,           0.0006445,           0.0006445,           0.0006445
                 191,            0.028959,            0.018448,           0.0004724,             0.76202,             0.81012,             0.80194,             0.37343,            0.037459,            0.022835,          0.00066966,            0.000595,            0.000595,            0.000595
                 192,            0.028915,            0.018382,          0.00043585,             0.83806,             0.75389,              0.8399,             0.38209,            0.037357,            0.023108,          0.00094676,           0.0005455,           0.0005455,           0.0005455
                 193,            0.028742,             0.01848,          0.00047509,             0.75162,             0.82155,             0.81278,             0.39584,            0.036584,            0.022845,          0.00069586,            0.000496,            0.000496,            0.000496
                 194,            0.028928,             0.01829,          0.00047324,             0.79886,              0.7825,             0.84613,             0.40411,            0.036197,            0.022446,          0.00061777,           0.0004465,           0.0004465,           0.0004465
                 195,            0.028071,            0.018167,          0.00056535,             0.84447,             0.78233,             0.86113,             0.39223,             0.03628,            0.022352,          0.00060012,            0.000397,            0.000397,            0.000397
                 196,            0.027947,            0.018058,          0.00041887,             0.82754,             0.78096,             0.85742,             0.39609,            0.036279,            0.022492,          0.00063101,           0.0003475,           0.0003475,           0.0003475
                 197,            0.028319,            0.018124,          0.00047132,             0.78929,             0.81766,             0.83633,             0.38308,            0.037096,            0.022452,          0.00061662,            0.000298,            0.000298,            0.000298
                 198,            0.027439,            0.018047,           0.0003689,             0.78519,             0.80585,             0.82771,             0.39383,            0.036788,            0.022605,          0.00064893,           0.0002485,           0.0002485,           0.0002485
                 199,             0.02786,            0.017915,          0.00050914,             0.78668,             0.80102,              0.8301,             0.39386,            0.036807,            0.022421,          0.00056011,            0.000199,            0.000199,            0.000199
